#Steen Re=300000,,,,,,
[Data],,,,,,
R [ m ],Velocity Axial [ m s^-1 ],Velocity Radial [ m s^-1 ],Velocity Circumferential [ m s^-1 ],Pressure [ Pa ],Turbulence Kinetic Energy [ m^2 s^-2 ],Turbulence Eddy Dissipation [ m^2 s^-3 ]
-0.0350,0,0,0,0,0.00000,0.0000000000
-0.0329,0,0,0,0,0.14263,6.3223993221
-0.0313,0,0,0,0,0.12776,5.3594744628
-0.0291,0,0,0,0,0.12044,4.9059801465
-0.0268,0,0,0,0,0.11631,4.6559139642
-0.0236,0,0,0,0,0.11037,4.3034137490
-0.0215,0,0,0,0,0.10922,4.2364179555
-0.0188,0,0,0,0,0.11288,4.4511990608
-0.0163,0,0,0,0,0.12478,5.1731849636
-0.0124,0,0,0,0,0.16208,7.6587873047
-0.0092,0,0,0,0,0.23717,13.5563228754
-0.0053,0,0,0,0,0.40081,29.7826715158
-0.0026,0,0,0,0,0.57160,50.7215542388
0.0002,0,0,0,0,0.56767,50.1999060911
0.0031,0,0,0,0,0.58425,52.4146380602
0.0061,0,0,0,0,0.40189,29.9028409641
0.0096,0,0,0,0,0.23730,13.5676575241
0.0127,0,0,0,0,0.16679,7.9946624699
0.0160,0,0,0,0,0.14229,6.2995438024
0.0192,0,0,0,0,0.11663,4.6751354034
0.0223,0,0,0,0,0.10311,3.8862001132
0.0263,0,0,0,0,0.10262,3.8585985018
0.0292,0,0,0,0,0.11290,4.4523552591
0.0328,0,0,0,0,0.13782,6.0052423861
0.0350,0,0,0,0,0.00000,0.0000000000
