#Steen Re=300000,,,,,,
[Data],,,,,,
R [ m ],Velocity Axial [ m s^-1 ],Velocity Radial [ m s^-1 ],Velocity Circumferential [ m s^-1 ],Pressure [ Pa ],Turbulence Kinetic Energy [ m^2 s^-2 ],Turbulence Eddy Dissipation [ m^2 s^-3 ]
-0.0350,0.0000,0,0.0000,0,0.00000,0.0000000000
-0.0345,3.6351,0,1.1302,0,0.00000,0.0000000000
-0.0297,4.0888,0,0.9958,0,0.00000,0.0000000000
-0.0266,4.4341,0,0.9581,0,0.00000,0.0000000000
-0.0232,4.6168,0,1.0363,0,0.00000,0.0000000000
-0.0201,4.7451,0,1.1725,0,0.00000,0.0000000000
-0.0166,4.7651,0,1.3859,0,0.00000,0.0000000000
-0.0133,4.7126,0,1.6767,0,0.00000,0.0000000000
-0.0098,4.5518,0,2.1606,0,0.00000,0.0000000000
-0.0065,4.0653,0,2.7604,0,0.00000,0.0000000000
-0.0035,2.8553,0,3.0897,0,0.00000,0.0000000000
-0.0013,1.7534,0,2.1825,0,0.00000,0.0000000000
0.0002,1.2297,0,0.0966,0,0.00000,0.0000000000
0.0022,1.7010,0,-1.9119,0,0.00000,0.0000000000
0.0044,2.4799,0,-3.2247,0,0.00000,0.0000000000
0.0066,3.5300,0,-2.9729,0,0.00000,0.0000000000
0.0100,4.3637,0,-2.3731,0,0.00000,0.0000000000
0.0130,4.6185,0,-1.9086,0,0.00000,0.0000000000
0.0163,4.7650,0,-1.5600,0,0.00000,0.0000000000
0.0198,4.7489,0,-1.2885,0,0.00000,0.0000000000
0.0229,4.6240,0,-1.0944,0,0.00000,0.0000000000
0.0264,4.4450,0,-0.9968,0,0.00000,0.0000000000
0.0295,4.2297,0,-0.9378,0,0.00000,0.0000000000
0.0345,3.6348,0,-0.9369,0,0.00000,0.0000000000
0.0350,0.0000,0,0.0000,0,0.00000,0.0000000000
